"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_0"
"09/23/2025 15:48:33:829 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"5","250","10","0.01","0","1","2","20","3000","4","[15 105 35 25]","[77 139 33 1]"
"2","250","10","0.01","0","1","2","20","3000","2","[15 105]","[97 153]"
"3","250","10","0.01","0","1","2","20","3000","4","[15 105 25 35]","[128 1 120 1]"
"6","250","10","0.01","0","1","2","20","3000","2","[15 105]","[40 210]"
"4","250","10","0.01","0","1","2","20","3000","2","[15 105]","[178 72]"
"1","250","10","0.01","0","1","2","20","3000","5","[15 105 25 35 45]","[1 65 113 69 2]"
"8","250","10","0.01","0","1","2","20","3000","3","[105 25 15]","[179 68 3]"
"7","250","10","0.01","0","1","2","20","3000","3","[15 105 25]","[135 114 1]"
"10","250","10","0.01","0","1","2","20","3000","3","[15 105 25]","[208 23 19]"
"9","250","10","0.01","0","1","2","20","3000","5","[15 105 25 35 45]","[109 115 12 13 1]"
"12","250","10","0.01","0","1","2","20","3000","2","[15 105]","[200 50]"
"11","250","10","0.01","0","1","2","20","3000","2","[15 105]","[213 37]"
"15","250","10","0.01","0","1","2","20","3000","1","[105]","[250]"
"13","250","10","0.01","0","1","2","20","3000","2","[15 105]","[49 201]"
"14","250","10","0.01","0","1","2","20","3000","3","[15 25 35]","[146 7 97]"
"16","250","10","0.01","0","1","2","20","3000","3","[105 35 15]","[214 34 2]"
"18","250","10","0.01","0","1","2","20","3000","3","[15 105 25]","[94 102 54]"
"17","250","10","0.01","0","1","2","20","3000","3","[15 105 35]","[1 213 36]"
"19","250","10","0.01","0","1","2","20","3000","3","[15 105 25]","[203 46 1]"
"20","250","10","0.01","0","1","2","20","3000","3","[105 25 35]","[125 124 1]"
"21","250","10","0.01","0","1","2","20","3000","2","[15 105]","[72 178]"
"22","250","10","0.01","0","1","2","20","3000","3","[15 105 25]","[98 76 76]"
"24","250","10","0.01","0","1","2","20","3000","2","[15 105]","[203 47]"
"23","250","10","0.01","0","1","2","20","3000","2","[15 105]","[220 30]"
"25","250","10","0.01","0","1","2","20","3000","2","[15 105]","[192 58]"
"27","250","10","0.01","0","1","2","20","3000","1","[105]","[250]"
"26","250","10","0.01","0","1","2","20","3000","2","[15 105]","[89 161]"
"28","250","10","0.01","0","1","2","20","3000","4","[15 105 25 35]","[50 183 1 16]"
"29","250","10","0.01","0","1","2","20","3000","1","[105]","[250]"
"30","250","10","0.01","0","1","2","20","3000","2","[15 105]","[102 148]"
