"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_0 (4)"
"09/23/2025 15:56:22:005 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"5","250","10","0.01","100","1","2","20","3000","4","[15 105 25 35]","[144 81 23 2]"
"6","250","10","0.01","100","1","2","20","3000","5","[15 105 25 65 55]","[135 75 1 6 32]"
"3","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[148 37 65]"
"1","250","10","0.01","100","1","2","20","3000","4","[105 25 35 45]","[147 1 91 11]"
"2","250","10","0.01","100","1","2","20","3000","6","[15 105 55 65 75 45]","[113 38 57 1 40 1]"
"4","250","10","0.01","100","1","2","20","3000","3","[105 45 55]","[67 76 107]"
"7","250","10","0.01","100","1","2","20","3000","1","[105]","[250]"
"9","250","10","0.01","100","1","2","20","3000","3","[15 35 45]","[200 49 1]"
"11","250","10","0.01","100","1","2","20","3000","2","[15 105]","[104 146]"
"10","250","10","0.01","100","1","2","20","3000","2","[15 105]","[172 78]"
"8","250","10","0.01","100","1","2","20","3000","5","[15 105 25 45 35]","[236 8 1 2 3]"
"12","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[43 158 49]"
"13","250","10","0.01","100","1","2","20","3000","4","[105 25 35 55]","[230 13 6 1]"
"14","250","10","0.01","100","1","2","20","3000","3","[105 55 25]","[217 31 2]"
"18","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[148 32 70]"
"17","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[16 181 53]"
"16","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[83 138 29]"
"15","250","10","0.01","100","1","2","20","3000","5","[15 105 25 35 55]","[213 3 22 11 1]"
"19","250","10","0.01","100","1","2","20","3000","5","[15 105 35 25 45]","[159 51 38 1 1]"
"20","250","10","0.01","100","1","2","20","3000","8","[15 105 35 45 55 65 75 85]","[155 1 87 2 2 1 1 1]"
"22","250","10","0.01","100","1","2","20","3000","6","[15 105 25 35 55 65]","[1 167 1 73 7 1]"
"23","250","10","0.01","100","1","2","20","3000","2","[105 35]","[234 16]"
"21","250","10","0.01","100","1","2","20","3000","3","[15 25 35]","[183 66 1]"
"24","250","10","0.01","100","1","2","20","3000","1","[15]","[250]"
"25","250","10","0.01","100","1","2","20","3000","4","[15 105 25 35]","[31 206 12 1]"
"27","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[215 34 1]"
"26","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[109 74 67]"
"28","250","10","0.01","100","1","2","20","3000","1","[15]","[250]"
"30","250","10","0.01","100","1","2","20","3000","3","[15 105 25]","[196 27 27]"
"29","250","10","0.01","100","1","2","20","3000","3","[15 105 35]","[238 4 8]"
