"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"Manipulation Level 0-20"
"09/25/2025 01:16:09:846 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"10","250","0.05","0","0","0","100","3","0.5","20","393","393","14"
"8","250","0.05","0","0","0","100","3","0.5","20","334","334","28"
"4","250","0.05","0","0","0","100","3","0.5","20","274","274","20"
"7","250","0.05","0","0","0","100","3","0.5","20","333","333","28"
"15","250","0.05","0","0","0","100","3","0.5","20","459","459","37"
"16","250","0.05","0","0","0","100","3","0.5","20","452","452","23"
"6","250","0.05","0","0","0","100","3","0.5","20","691","691","27"
"1","250","0.05","0","0","0","100","3","0.5","20","517","517","48"
"12","250","0.05","0","0","0","100","3","0.5","20","551","551","27"
"2","250","0.05","0","0","0","100","3","0.5","20","597","597","29"
"19","250","0.05","0","0","0","100","3","0.5","20","227","227","41"
"5","250","0.05","0","0","0","100","3","0.5","20","1065","1065","13"
"23","250","0.05","0","0","0","100","3","0.5","20","673","673","11"
"17","250","0.05","0","0","0","100","3","0.5","20","1114","1114","8"
"21","250","0.05","0","0","0","100","3","0.5","20","673","673","13"
"26","250","0.05","0","0","0","100","3","0.5","20","653","653","20"
"13","250","0.05","0","0","0","100","3","0.5","20","804","804","23"
"24","250","0.05","0","0","0","100","3","0.5","20","620","620","14"
"27","250","0.05","0","0","0","100","3","0.5","20","383","383","29"
"11","250","0.05","0","0","0","100","3","0.5","20","1107","1107","12"
"25","250","0.05","0","0","0","100","3","0.5","20","531","531","21"
"14","250","0.05","0","0","0","100","3","0.5","20","960","960","20"
"31","250","0.05","0","0","0","100","3","0.5","20","276","276","26"
"18","250","0.05","0","0","0","100","3","0.5","20","949","949","9"
"29","250","0.05","0","0","0","100","3","0.5","20","599","599","9"
"20","250","0.05","0","0","0","100","3","0.5","20","825","825","7"
"39","250","0.05","0","0","0","100","3","0.5","20","289","289","33"
"32","250","0.05","0","0","0","100","3","0.5","20","670","670","19"
"37","250","0.05","0","0","0","100","3","0.5","20","300","300","27"
"3","250","0.05","0","0","0","100","3","0.5","20","1354","1354","4"
"36","250","0.05","0","0","0","100","3","0.5","20","480","480","28"
"41","250","0.05","0","0","0","100","3","0.5","20","547","547","6"
"33","250","0.05","0","0","0","100","3","0.5","20","722","722","13"
"30","250","0.05","0","0","0","100","3","0.5","20","1051","1051","12"
"9","250","0.05","0","0","0","100","3","0.5","20","2894","2894","7"
"45","250","0.05","0","0","0","100","3","0.5","20","263","263","28"
"38","250","0.05","0","0","0","100","3","0.5","20","676","676","11"
"35","250","0.05","0","0","0","100","3","0.5","20","867","867","14"
"46","250","0.05","0","0","0","100","3","0.5","20","543","543","12"
"22","250","0.05","0","0","0","100","3","0.5","20","2331","2331","9"
"40","250","0.05","0","0","0","100","3","0.5","20","813","813","16"
"51","250","0.05","0","0","0","100","3","0.5","20","507","507","21"
"28","250","0.05","0","0","0","100","3","0.5","20","1528","1528","6"
"47","250","0.05","0","0","0","100","3","0.5","20","672","672","44"
"42","250","0.05","0","0","0","100","3","0.5","20","1030","1030","17"
"50","250","0.05","0","0","0","100","3","0.5","20","747","747","21"
"54","250","0.05","0","0","0","100","3","0.5","20","627","627","17"
"57","250","0.05","0","0","0","100","3","0.5","20","446","446","28"
