"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"Manipulation Level 20-40"
"09/25/2025 01:17:01:419 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"2","250","0.05","0","20","0","100","3","0.5","40","484","484","34"
"9","250","0.05","0","20","0","100","3","0.5","40","437","437","21"
"5","250","0.05","0","20","0","100","3","0.5","40","437","437","17"
"3","250","0.05","0","20","0","100","3","0.5","40","843","843","10"
"13","250","0.05","0","20","0","100","3","0.5","40","733","733","13"
"14","250","0.05","0","20","0","100","3","0.5","40","800","800","19"
"4","250","0.05","0","20","0","100","3","0.5","40","904","904","14"
"17","250","0.05","0","20","0","100","3","0.5","40","575","575","11"
"1","250","0.05","0","20","0","100","3","0.5","40","933","933","11"
"12","250","0.05","0","20","0","100","3","0.5","40","1042","1042","5"
"18","250","0.05","0","20","0","100","3","0.5","40","639","639","11"
"20","250","0.05","0","20","0","100","3","0.5","40","330","330","19"
"6","250","0.05","0","20","0","100","3","0.5","40","1019","1019","6"
"19","250","0.05","0","20","0","100","3","0.5","40","715","715","5"
"25","250","0.05","0","20","0","100","3","0.5","40","261","261","18"
"23","250","0.05","0","20","0","100","3","0.5","40","515","515","9"
"15","250","0.05","0","20","0","100","3","0.5","40","1368","1368","5"
"27","250","0.05","0","20","0","100","3","0.5","40","381","381","14"
"30","250","0.05","0","20","0","100","3","0.5","40","412","412","31"
"26","250","0.05","0","20","0","100","3","0.5","40","591","591","11"
"8","250","0.05","0","20","0","100","3","0.5","40","1638","1638","0"
"22","250","0.05","0","20","0","100","3","0.5","40","756","756","4"
"24","250","0.05","0","20","0","100","3","0.5","40","737","737","11"
"28","250","0.05","0","20","0","100","3","0.5","40","610","610","13"
"37","250","0.05","0","20","0","100","3","0.5","40","225","225","31"
"31","250","0.05","0","20","0","100","3","0.5","40","629","629","8"
"29","250","0.05","0","20","0","100","3","0.5","40","742","742","5"
"35","250","0.05","0","20","0","100","3","0.5","40","692","692","20"
"21","250","0.05","0","20","0","100","3","0.5","40","1407","1407","3"
"36","250","0.05","0","20","0","100","3","0.5","40","827","827","8"
"38","250","0.05","0","20","0","100","3","0.5","40","664","664","8"
"42","250","0.05","0","20","0","100","3","0.5","40","384","384","23"
"40","250","0.05","0","20","0","100","3","0.5","40","743","743","4"
"16","250","0.05","0","20","0","100","3","0.5","40","2399","2399","0"
"11","250","0.05","0","20","0","100","3","0.5","40","2229","2229","1"
"34","250","0.05","0","20","0","100","3","0.5","40","1113","1113","11"
"39","250","0.05","0","20","0","100","3","0.5","40","836","836","13"
"44","250","0.05","0","20","0","100","3","0.5","40","644","644","9"
"7","250","0.05","0","20","0","100","3","0.5","40","2685","2685","0"
"43","250","0.05","0","20","0","100","3","0.5","40","798","798","12"
"46","250","0.05","0","20","0","100","3","0.5","40","657","657","26"
"48","250","0.05","0","20","0","100","3","0.5","40","594","594","10"
"51","250","0.05","0","20","0","100","3","0.5","40","440","440","17"
"32","250","0.05","0","20","0","100","3","0.5","40","1547","1547","2"
"53","250","0.05","0","20","0","100","3","0.5","40","569","569","15"
"55","250","0.05","0","20","0","100","3","0.5","40","437","437","19"
"10","250","0.05","0","20","0","100","3","0.5","40","3091","3091","0"
"49","250","0.05","0","20","0","100","3","0.5","40","881","881","15"
"57","250","0.05","0","20","0","100","3","0.5","40","499","499","12"
"61","250","0.05","0","20","0","100","3","0.5","40","312","312","27"
"56","250","0.05","0","20","0","100","3","0.5","40","645","645","18"
"33","250","0.05","0","20","0","100","3","0.5","40","1742","1742","7"
"47","250","0.05","0","20","0","100","3","0.5","40","1020","1020","6"
"58","250","0.05","0","20","0","100","3","0.5","40","804","804","5"
"65","250","0.05","0","20","0","100","3","0.5","40","442","442","13"
"62","250","0.05","0","20","0","100","3","0.5","40","515","515","19"
"67","250","0.05","0","20","0","100","3","0.5","40","416","416","10"
"59","250","0.05","0","20","0","100","3","0.5","40","892","892","12"
"50","250","0.05","0","20","0","100","3","0.5","40","1277","1277","7"
"66","250","0.05","0","20","0","100","3","0.5","40","522","522","16"
"64","250","0.05","0","20","0","100","3","0.5","40","622","622","5"
"60","250","0.05","0","20","0","100","3","0.5","40","1051","1051","3"
"63","250","0.05","0","20","0","100","3","0.5","40","739","739","8"
"71","250","0.05","0","20","0","100","3","0.5","40","538","538","6"
"41","250","0.05","0","20","0","100","3","0.5","40","2303","2303","0"
"77","250","0.05","0","20","0","100","3","0.5","40","522","522","15"
"78","250","0.05","0","20","0","100","3","0.5","40","540","540","11"
"70","250","0.05","0","20","0","100","3","0.5","40","1004","1004","8"
"79","250","0.05","0","20","0","100","3","0.5","40","891","891","17"
"80","250","0.05","0","20","0","100","3","0.5","40","762","762","10"
"73","250","0.05","0","20","0","100","3","0.5","40","1109","1109","5"
"83","250","0.05","0","20","0","100","3","0.5","40","546","546","7"
"74","250","0.05","0","20","0","100","3","0.5","40","1426","1426","10"
"84","250","0.05","0","20","0","100","3","0.5","40","580","580","17"
"75","250","0.05","0","20","0","100","3","0.5","40","1314","1314","8"
"54","250","0.05","0","20","0","100","3","0.5","40","2937","2937","0"
"82","250","0.05","0","20","0","100","3","0.5","40","745","745","7"
"92","250","0.05","0","20","0","100","3","0.5","40","254","254","26"
"88","250","0.05","0","20","0","100","3","0.5","40","512","512","18"
"86","250","0.05","0","20","0","100","3","0.5","40","682","682","6"
"89","250","0.05","0","20","0","100","3","0.5","40","582","582","16"
"85","250","0.05","0","20","0","100","3","0.5","40","724","724","11"
"76","250","0.05","0","20","0","100","3","0.5","40","1688","1688","7"
"45","250","0.05","0","20","0","100","3","0.5","40","3393","3393","0"
"95","250","0.05","0","20","0","100","3","0.5","40","257","257","27"
"72","250","0.05","0","20","0","100","3","0.5","40","2000","2000","0"
"68","250","0.05","0","20","0","100","3","0.5","40","2147","2147","6"
"52","250","0.05","0","20","0","100","3","0.5","40","3156","3156","0"
"90","250","0.05","0","20","0","100","3","0.5","40","752","752","23"
"87","250","0.05","0","20","0","100","3","0.5","40","938","938","6"
"93","250","0.05","0","20","0","100","3","0.5","40","750","750","15"
"91","250","0.05","0","20","0","100","3","0.5","40","956","956","3"
"96","250","0.05","0","20","0","100","3","0.5","40","664","664","27"
"98","250","0.05","0","20","0","100","3","0.5","40","628","628","13"
"81","250","0.05","0","20","0","100","3","0.5","40","2115","2115","1"
"94","250","0.05","0","20","0","100","3","0.5","40","1050","1050","3"
"69","250","0.05","0","20","0","100","3","0.5","40","3693","3693","0"
"100","250","0.05","0","20","0","100","3","0.5","40","1779","1779","7"
"99","250","0.05","0","20","0","100","3","0.5","40","1667","1667","3"
"97","250","0.05","0","20","0","100","3","0.5","40","3868","3868","0"
