"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template"
"09/25/2025 01:52:39:174 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"4","250","0.05","0","0","0","100","4","0.5","100","279","279","13"
"15","250","0.05","0","0","0","100","4","0.5","100","460","460","9"
"8","250","0.05","0","0","0","100","4","0.5","100","539","539","6"
"6","250","0.05","0","0","0","100","4","0.5","100","534","534","8"
"7","250","0.05","0","0","0","100","4","0.5","100","536","536","2"
"14","250","0.05","0","0","0","100","4","0.5","100","1085","1085","4"
"2","250","0.05","0","0","0","100","4","0.5","100","600","600","8"
"12","250","0.05","0","0","0","100","4","0.5","100","1024","1024","6"
"1","250","0.05","0","0","0","100","4","0.5","100","664","664","6"
"11","250","0.05","0","0","0","100","4","0.5","100","953","953","7"
"5","250","0.05","0","0","0","100","4","0.5","100","692","692","6"
"10","250","0.05","0","0","0","100","4","0.5","100","793","793","2"
"3","250","0.05","0","0","0","100","4","0.5","100","728","728","6"
"17","250","0.05","0","0","0","100","4","0.5","100","762","762","10"
"19","250","0.05","0","0","0","100","4","0.5","100","510","510","9"
"9","250","0.05","0","0","0","100","4","0.5","100","1150","1150","4"
"26","250","0.05","0","0","0","100","4","0.5","100","444","444","7"
"21","250","0.05","0","0","0","100","4","0.5","100","625","625","3"
"20","250","0.05","0","0","0","100","4","0.5","100","746","746","8"
"22","250","0.05","0","0","0","100","4","0.5","100","664","664","6"
"28","250","0.05","0","0","0","100","4","0.5","100","608","608","8"
"30","250","0.05","0","0","0","100","4","0.5","100","478","478","18"
"18","250","0.05","0","0","0","100","4","0.5","100","1343","1343","5"
"34","250","0.05","0","0","0","100","4","0.5","100","346","346","10"
"24","250","0.05","0","0","0","100","4","0.5","100","873","873","7"
"33","250","0.05","0","0","0","100","4","0.5","100","614","614","7"
"31","250","0.05","0","0","0","100","4","0.5","100","809","809","4"
"25","250","0.05","0","0","0","100","4","0.5","100","1280","1280","3"
"36","250","0.05","0","0","0","100","4","0.5","100","570","570","4"
"29","250","0.05","0","0","0","100","4","0.5","100","1196","1196","1"
"41","250","0.05","0","0","0","100","4","0.5","100","349","349","17"
"23","250","0.05","0","0","0","100","4","0.5","100","1404","1404","1"
"37","250","0.05","0","0","0","100","4","0.5","100","627","627","1"
"16","250","0.05","0","0","0","100","4","0.5","100","1963","1963","2"
"40","250","0.05","0","0","0","100","4","0.5","100","551","551","8"
"27","250","0.05","0","0","0","100","4","0.5","100","1380","1380","6"
"35","250","0.05","0","0","0","100","4","0.5","100","1090","1090","2"
"39","250","0.05","0","0","0","100","4","0.5","100","957","957","6"
"48","250","0.05","0","0","0","100","4","0.5","100","596","596","19"
"43","250","0.05","0","0","0","100","4","0.5","100","861","861","4"
"38","250","0.05","0","0","0","100","4","0.5","100","1364","1364","5"
"51","250","0.05","0","0","0","100","4","0.5","100","542","542","5"
"45","250","0.05","0","0","0","100","4","0.5","100","854","854","9"
