"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template"
"09/25/2025 01:19:16:764 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"4","250","0.05","0","0","0","100","3","0.5","100","432","432","12"
"2","250","0.05","0","0","0","100","3","0.5","100","501","501","13"
"8","250","0.05","0","0","0","100","3","0.5","100","391","391","8"
"10","250","0.05","0","0","0","100","3","0.5","100","509","509","8"
"11","250","0.05","0","0","0","100","3","0.5","100","507","507","11"
"5","250","0.05","0","0","0","100","3","0.5","100","723","723","6"
"9","250","0.05","0","0","0","100","3","0.5","100","642","642","9"
"7","250","0.05","0","0","0","100","3","0.5","100","758","758","5"
"3","250","0.05","0","0","0","100","3","0.5","100","809","809","5"
"13","250","0.05","0","0","0","100","3","0.5","100","974","974","1"
"17","250","0.05","0","0","0","100","3","0.5","100","586","586","5"
"20","250","0.05","0","0","0","100","3","0.5","100","475","475","6"
"23","250","0.05","0","0","0","100","3","0.5","100","456","456","12"
"6","250","0.05","0","0","0","100","3","0.5","100","1227","1227","3"
"24","250","0.05","0","0","0","100","3","0.5","100","460","460","11"
"14","250","0.05","0","0","0","100","3","0.5","100","1307","1307","2"
"26","250","0.05","0","0","0","100","3","0.5","100","388","388","10"
"1","250","0.05","0","0","0","100","3","0.5","100","1352","1352","6"
"16","250","0.05","0","0","0","100","3","0.5","100","1064","1064","3"
"22","250","0.05","0","0","0","100","3","0.5","100","837","837","3"
"19","250","0.05","0","0","0","100","3","0.5","100","972","972","2"
"28","250","0.05","0","0","0","100","3","0.5","100","433","433","11"
"29","250","0.05","0","0","0","100","3","0.5","100","404","404","12"
"21","250","0.05","0","0","0","100","3","0.5","100","838","838","5"
"18","250","0.05","0","0","0","100","3","0.5","100","1213","1213","5"
"32","250","0.05","0","0","0","100","3","0.5","100","311","311","18"
"15","250","0.05","0","0","0","100","3","0.5","100","1902","1902","6"
"36","250","0.05","0","0","0","100","3","0.5","100","369","369","23"
"35","250","0.05","0","0","0","100","3","0.5","100","413","413","19"
"33","250","0.05","0","0","0","100","3","0.5","100","560","560","14"
"12","250","0.05","0","0","0","100","3","0.5","100","2147","2147","0"
"44","250","0.05","0","0","0","100","3","0.5","100","513","513","12"
"25","250","0.05","0","0","0","100","3","0.5","100","1535","1535","2"
"30","250","0.05","0","0","0","100","3","0.5","100","1280","1280","4"
"43","250","0.05","0","0","0","100","3","0.5","100","863","863","5"
"37","250","0.05","0","0","0","100","3","0.5","100","1359","1359","4"
"41","250","0.05","0","0","0","100","3","0.5","100","1229","1229","2"
"27","250","0.05","0","0","0","100","3","0.5","100","1627","1627","1"
"39","250","0.05","0","0","0","100","3","0.5","100","1395","1395","6"
"45","250","0.05","0","0","0","100","3","0.5","100","986","986","3"
