"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template_100_orang"
"09/25/2025 01:05:19:767 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"9","100","0.05","0","0","0","100","3","0.5","100","144","144","15"
"6","100","0.05","0","0","0","100","3","0.5","100","176","176","24"
"18","100","0.05","0","0","0","100","3","0.5","100","136","136","13"
"5","100","0.05","0","0","0","100","3","0.5","100","328","328","4"
"1","100","0.05","0","0","0","100","3","0.5","100","255","255","4"
"16","100","0.05","0","0","0","100","3","0.5","100","327","327","2"
"10","100","0.05","0","0","0","100","3","0.5","100","350","350","2"
"17","100","0.05","0","0","0","100","3","0.5","100","171","171","6"
"4","100","0.05","0","0","0","100","3","0.5","100","109","109","22"
"24","100","0.05","0","0","0","100","3","0.5","100","164","164","8"
"3","100","0.05","0","0","0","100","3","0.5","100","496","496","1"
"7","100","0.05","0","0","0","100","3","0.5","100","518","518","2"
"14","100","0.05","0","0","0","100","3","0.5","100","508","508","3"
"22","100","0.05","0","0","0","100","3","0.5","100","170","170","6"
"20","100","0.05","0","0","0","100","3","0.5","100","298","298","5"
"19","100","0.05","0","0","0","100","3","0.5","100","347","347","4"
"23","100","0.05","0","0","0","100","3","0.5","100","359","359","4"
"30","100","0.05","0","0","0","100","3","0.5","100","141","141","16"
"31","100","0.05","0","0","0","100","3","0.5","100","260","260","7"
"26","100","0.05","0","0","0","100","3","0.5","100","387","387","3"
"29","100","0.05","0","0","0","100","3","0.5","100","334","334","4"
"32","100","0.05","0","0","0","100","3","0.5","100","283","283","9"
"15","100","0.05","0","0","0","100","3","0.5","100","835","835","5"
"21","100","0.05","0","0","0","100","3","0.5","100","436","436","2"
"13","100","0.05","0","0","0","100","3","0.5","100","258","258","8"
"12","100","0.05","0","0","0","100","3","0.5","100","296","296","6"
"36","100","0.05","0","0","0","100","3","0.5","100","185","185","3"
"33","100","0.05","0","0","0","100","3","0.5","100","334","334","1"
"27","100","0.05","0","0","0","100","3","0.5","100","814","814","4"
"35","100","0.05","0","0","0","100","3","0.5","100","457","457","7"
"44","100","0.05","0","0","0","100","3","0.5","100","250","250","4"
"28","100","0.05","0","0","0","100","3","0.5","100","779","779","0"
"43","100","0.05","0","0","0","100","3","0.5","100","297","297","5"
"39","100","0.05","0","0","0","100","3","0.5","100","239","239","3"
"46","100","0.05","0","0","0","100","3","0.5","100","219","219","7"
"8","100","0.05","0","0","0","100","3","0.5","100","345","345","3"
"37","100","0.05","0","0","0","100","3","0.5","100","340","340","4"
"34","100","0.05","0","0","0","100","3","0.5","100","491","491","3"
"47","100","0.05","0","0","0","100","3","0.5","100","271","271","3"
"49","100","0.05","0","0","0","100","3","0.5","100","258","258","7"
"40","100","0.05","0","0","0","100","3","0.5","100","387","387","4"
"45","100","0.05","0","0","0","100","3","0.5","100","453","453","2"
"50","100","0.05","0","0","0","100","3","0.5","100","143","143","10"
"48","100","0.05","0","0","0","100","3","0.5","100","350","350","1"
"25","100","0.05","0","0","0","100","3","0.5","100","273","273","5"
"11","100","0.05","0","0","0","100","3","0.5","100","453","453","2"
"58","100","0.05","0","0","0","100","3","0.5","100","232","232","12"
"60","100","0.05","0","0","0","100","3","0.5","100","295","295","4"
"63","100","0.05","0","0","0","100","3","0.5","100","185","185","9"
"53","100","0.05","0","0","0","100","3","0.5","100","367","367","4"
"55","100","0.05","0","0","0","100","3","0.5","100","556","556","3"
"56","100","0.05","0","0","0","100","3","0.5","100","445","445","3"
"54","100","0.05","0","0","0","100","3","0.5","100","426","426","5"
"64","100","0.05","0","0","0","100","3","0.5","100","226","226","7"
"65","100","0.05","0","0","0","100","3","0.5","100","377","377","1"
"66","100","0.05","0","0","0","100","3","0.5","100","349","349","4"
"69","100","0.05","0","0","0","100","3","0.5","100","173","173","14"
"67","100","0.05","0","0","0","100","3","0.5","100","439","439","3"
"59","100","0.05","0","0","0","100","3","0.5","100","871","871","0"
"71","100","0.05","0","0","0","100","3","0.5","100","226","226","6"
"70","100","0.05","0","0","0","100","3","0.5","100","334","334","3"
"72","100","0.05","0","0","0","100","3","0.5","100","247","247","3"
"68","100","0.05","0","0","0","100","3","0.5","100","582","582","2"
"75","100","0.05","0","0","0","100","3","0.5","100","245","245","7"
"78","100","0.05","0","0","0","100","3","0.5","100","227","227","4"
"51","100","0.05","0","0","0","100","3","0.5","100","1464","1464","0"
"77","100","0.05","0","0","0","100","3","0.5","100","246","246","4"
"79","100","0.05","0","0","0","100","3","0.5","100","274","274","14"
"38","100","0.05","0","0","0","100","3","0.5","100","2026","2026","1"
"57","100","0.05","0","0","0","100","3","0.5","100","954","954","3"
"80","100","0.05","0","0","0","100","3","0.5","100","196","196","9"
"73","100","0.05","0","0","0","100","3","0.5","100","537","537","3"
"85","100","0.05","0","0","0","100","3","0.5","100","180","180","10"
"81","100","0.05","0","0","0","100","3","0.5","100","304","304","1"
"84","100","0.05","0","0","0","100","3","0.5","100","269","269","4"
"86","100","0.05","0","0","0","100","3","0.5","100","141","141","8"
"74","100","0.05","0","0","0","100","3","0.5","100","719","719","2"
"52","100","0.05","0","0","0","100","3","0.5","100","318","318","10"
"82","100","0.05","0","0","0","100","3","0.5","100","302","302","5"
"87","100","0.05","0","0","0","100","3","0.5","100","305","305","11"
"83","100","0.05","0","0","0","100","3","0.5","100","518","518","2"
"76","100","0.05","0","0","0","100","3","0.5","100","820","820","2"
"91","100","0.05","0","0","0","100","3","0.5","100","193","193","7"
"42","100","0.05","0","0","0","100","3","0.5","100","428","428","10"
"92","100","0.05","0","0","0","100","3","0.5","100","190","190","5"
"93","100","0.05","0","0","0","100","3","0.5","100","257","257","6"
"96","100","0.05","0","0","0","100","3","0.5","100","268","268","5"
"2","100","0.05","0","0","0","100","3","0.5","100","666","666","3"
"99","100","0.05","0","0","0","100","3","0.5","100","185","185","7"
"88","100","0.05","0","0","0","100","3","0.5","100","453","453","3"
"95","100","0.05","0","0","0","100","3","0.5","100","415","415","6"
"61","100","0.05","0","0","0","100","3","0.5","100","354","354","4"
"97","100","0.05","0","0","0","100","3","0.5","100","357","357","3"
"89","100","0.05","0","0","0","100","3","0.5","100","689","689","0"
"62","100","0.05","0","0","0","100","3","0.5","100","564","564","3"
"94","100","0.05","0","0","0","100","3","0.5","100","316","316","4"
"90","100","0.05","0","0","0","100","3","0.5","100","875","875","1"
"98","100","0.05","0","0","0","100","3","0.5","100","616","616","4"
"100","100","0.05","0","0","0","100","3","0.5","100","529","529","2"
