"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template_300_orang (copy) (copy)"
"09/25/2025 01:09:18:230 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"12","400","0.05","0","0","0","100","3","0.5","100","737","737","9"
"4","400","0.05","0","0","0","100","3","0.5","100","789","789","17"
"13","400","0.05","0","0","0","100","3","0.5","100","1017","1017","10"
"15","400","0.05","0","0","0","100","3","0.5","100","877","877","13"
"1","400","0.05","0","0","0","100","3","0.5","100","612","612","12"
"2","400","0.05","0","0","0","100","3","0.5","100","988","988","12"
"16","400","0.05","0","0","0","100","3","0.5","100","1370","1370","7"
"14","400","0.05","0","0","0","100","3","0.5","100","1229","1229","6"
"11","400","0.05","0","0","0","100","3","0.5","100","1171","1171","2"
"7","400","0.05","0","0","0","100","3","0.5","100","1108","1108","7"
"20","400","0.05","0","0","0","100","3","0.5","100","745","745","12"
"9","400","0.05","0","0","0","100","3","0.5","100","1250","1250","9"
"21","400","0.05","0","0","0","100","3","0.5","100","605","605","16"
"19","400","0.05","0","0","0","100","3","0.5","100","1138","1138","9"
"6","400","0.05","0","0","0","100","3","0.5","100","1422","1422","2"
"8","400","0.05","0","0","0","100","3","0.5","100","1645","1645","2"
"17","400","0.05","0","0","0","100","3","0.5","100","1472","1472","2"
"23","400","0.05","0","0","0","100","3","0.5","100","1016","1016","8"
"26","400","0.05","0","0","0","100","3","0.5","100","608","608","13"
"5","400","0.05","0","0","0","100","3","0.5","100","1462","1462","8"
"18","400","0.05","0","0","0","100","3","0.5","100","2045","2045","6"
"30","400","0.05","0","0","0","100","3","0.5","100","857","857","5"
"33","400","0.05","0","0","0","100","3","0.5","100","793","793","10"
"35","400","0.05","0","0","0","100","3","0.5","100","605","605","9"
"3","400","0.05","0","0","0","100","3","0.5","100","2301","2301","1"
"28","400","0.05","0","0","0","100","3","0.5","100","1035","1035","15"
"31","400","0.05","0","0","0","100","3","0.5","100","857","857","14"
"36","400","0.05","0","0","0","100","3","0.5","100","680","680","10"
"27","400","0.05","0","0","0","100","3","0.5","100","1351","1351","5"
"22","400","0.05","0","0","0","100","3","0.5","100","2281","2281","2"
"32","400","0.05","0","0","0","100","3","0.5","100","850","850","8"
"37","400","0.05","0","0","0","100","3","0.5","100","756","756","11"
"10","400","0.05","0","0","0","100","3","0.5","100","3671","3671","0"
