"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template_300_orang (copy)"
"09/25/2025 01:08:16:761 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"15","300","0.05","0","0","0","100","3","0.5","100","854","854","6"
"2","300","0.05","0","0","0","100","3","0.5","100","723","723","5"
"13","300","0.05","0","0","0","100","3","0.5","100","750","750","13"
"11","300","0.05","0","0","0","100","3","0.5","100","875","875","6"
"14","300","0.05","0","0","0","100","3","0.5","100","955","955","8"
"17","300","0.05","0","0","0","100","3","0.5","100","229","229","44"
"7","300","0.05","0","0","0","100","3","0.5","100","986","986","5"
"8","300","0.05","0","0","0","100","3","0.5","100","869","869","8"
"6","300","0.05","0","0","0","100","3","0.5","100","835","835","8"
"4","300","0.05","0","0","0","100","3","0.5","100","554","554","8"
"20","300","0.05","0","0","0","100","3","0.5","100","546","546","15"
"10","300","0.05","0","0","0","100","3","0.5","100","605","605","22"
"18","300","0.05","0","0","0","100","3","0.5","100","828","828","3"
"23","300","0.05","0","0","0","100","3","0.5","100","1023","1023","6"
"29","300","0.05","0","0","0","100","3","0.5","100","691","691","14"
"25","300","0.05","0","0","0","100","3","0.5","100","897","897","8"
"16","300","0.05","0","0","0","100","3","0.5","100","1450","1450","1"
"21","300","0.05","0","0","0","100","3","0.5","100","1515","1515","4"
"3","300","0.05","0","0","0","100","3","0.5","100","1130","1130","6"
"19","300","0.05","0","0","0","100","3","0.5","100","1214","1214","8"
"22","300","0.05","0","0","0","100","3","0.5","100","1515","1515","2"
"24","300","0.05","0","0","0","100","3","0.5","100","1047","1047","9"
"27","300","0.05","0","0","0","100","3","0.5","100","1152","1152","2"
"30","300","0.05","0","0","0","100","3","0.5","100","855","855","12"
"28","300","0.05","0","0","0","100","3","0.5","100","759","759","11"
"37","300","0.05","0","0","0","100","3","0.5","100","454","454","18"
"1","300","0.05","0","0","0","100","3","0.5","100","1493","1493","6"
"5","300","0.05","0","0","0","100","3","0.5","100","1596","1596","2"
"36","300","0.05","0","0","0","100","3","0.5","100","633","633","13"
"40","300","0.05","0","0","0","100","3","0.5","100","379","379","21"
"33","300","0.05","0","0","0","100","3","0.5","100","661","661","7"
"38","300","0.05","0","0","0","100","3","0.5","100","493","493","11"
"31","300","0.05","0","0","0","100","3","0.5","100","1238","1238","3"
"46","300","0.05","0","0","0","100","3","0.5","100","501","501","18"
"26","300","0.05","0","0","0","100","3","0.5","100","1339","1339","6"
"44","300","0.05","0","0","0","100","3","0.5","100","494","494","16"
"42","300","0.05","0","0","0","100","3","0.5","100","928","928","9"
"34","300","0.05","0","0","0","100","3","0.5","100","1584","1584","4"
"39","300","0.05","0","0","0","100","3","0.5","100","1340","1340","1"
"49","300","0.05","0","0","0","100","3","0.5","100","590","590","15"
"35","300","0.05","0","0","0","100","3","0.5","100","1415","1415","9"
"52","300","0.05","0","0","0","100","3","0.5","100","350","350","13"
"51","300","0.05","0","0","0","100","3","0.5","100","470","470","33"
"12","300","0.05","0","0","0","100","3","0.5","100","3802","3802","1"
"56","300","0.05","0","0","0","100","3","0.5","100","485","485","17"
"48","300","0.05","0","0","0","100","3","0.5","100","1046","1046","5"
"53","300","0.05","0","0","0","100","3","0.5","100","1099","1099","8"
"41","300","0.05","0","0","0","100","3","0.5","100","1271","1271","8"
"32","300","0.05","0","0","0","100","3","0.5","100","2148","2148","0"
"45","300","0.05","0","0","0","100","3","0.5","100","1704","1704","2"
"55","300","0.05","0","0","0","100","3","0.5","100","1307","1307","4"
"57","300","0.05","0","0","0","100","3","0.5","100","789","789","5"
"43","300","0.05","0","0","0","100","3","0.5","100","1615","1615","9"
"62","300","0.05","0","0","0","100","3","0.5","100","579","579","8"
"54","300","0.05","0","0","0","100","3","0.5","100","1658","1658","4"
"61","300","0.05","0","0","0","100","3","0.5","100","785","785","7"
"58","300","0.05","0","0","0","100","3","0.5","100","814","814","5"
"50","300","0.05","0","0","0","100","3","0.5","100","1787","1787","1"
"9","300","0.05","0","0","0","100","3","0.5","100","3181","3181","1"
"64","300","0.05","0","0","0","100","3","0.5","100","568","568","13"
"72","300","0.05","0","0","0","100","3","0.5","100","348","348","19"
"65","300","0.05","0","0","0","100","3","0.5","100","729","729","6"
"63","300","0.05","0","0","0","100","3","0.5","100","1597","1597","5"
"71","300","0.05","0","0","0","100","3","0.5","100","909","909","10"
"75","300","0.05","0","0","0","100","3","0.5","100","575","575","13"
"77","300","0.05","0","0","0","100","3","0.5","100","559","559","11"
"66","300","0.05","0","0","0","100","3","0.5","100","1176","1176","5"
