"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template_500_orang (copy) (copy) (copy)"
"09/25/2025 01:11:51:353 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"14","500","0.05","0","0","0","100","3","0.5","100","793","793","9"
"16","500","0.05","0","0","0","100","3","0.5","100","883","883","12"
"3","500","0.05","0","0","0","100","3","0.5","100","904","904","9"
"8","500","0.05","0","0","0","100","3","0.5","100","1158","1158","16"
"4","500","0.05","0","0","0","100","3","0.5","100","1056","1056","2"
"15","500","0.05","0","0","0","100","3","0.5","100","1200","1200","10"
"11","500","0.05","0","0","0","100","3","0.5","100","1437","1437","7"
"1","500","0.05","0","0","0","100","3","0.5","100","890","890","9"
"5","500","0.05","0","0","0","100","3","0.5","100","1066","1066","8"
"7","500","0.05","0","0","0","100","3","0.5","100","1470","1470","13"
"13","500","0.05","0","0","0","100","3","0.5","100","1970","1970","3"
"9","500","0.05","0","0","0","100","3","0.5","100","1183","1183","8"
"12","500","0.05","0","0","0","100","3","0.5","100","2558","2558","16"
"26","500","0.05","0","0","0","100","3","0.5","100","783","783","19"
"20","500","0.05","0","0","0","100","3","0.5","100","1603","1603","5"
"24","500","0.05","0","0","0","100","3","0.5","100","985","985","8"
"17","500","0.05","0","0","0","100","3","0.5","100","1794","1794","3"
"10","500","0.05","0","0","0","100","3","0.5","100","2511","2511","7"
"22","500","0.05","0","0","0","100","3","0.5","100","1832","1832","8"
"23","500","0.05","0","0","0","100","3","0.5","100","2797","2797","6"
"19","500","0.05","0","0","0","100","3","0.5","100","2115","2115","9"
"32","500","0.05","0","0","0","100","3","0.5","100","620","620","21"
"18","500","0.05","0","0","0","100","3","0.5","100","3477","3477","4"
"33","500","0.05","0","0","0","100","3","0.5","100","588","588","18"
"2","500","0.05","0","0","0","100","3","0.5","100","2910","2910","2"
"29","500","0.05","0","0","0","100","3","0.5","100","1930","1930","7"
"28","500","0.05","0","0","0","100","3","0.5","100","1802","1802","6"
"21","500","0.05","0","0","0","100","3","0.5","100","2129","2129","9"
"31","500","0.05","0","0","0","100","3","0.5","100","1855","1855","10"
"30","500","0.05","0","0","0","100","3","0.5","100","1429","1429","5"
"6","500","0.05","0","0","0","100","3","0.5","100","2687","2687","2"
"37","500","0.05","0","0","0","100","3","0.5","100","988","988","12"
"41","500","0.05","0","0","0","100","3","0.5","100","648","648","21"
"40","500","0.05","0","0","0","100","3","0.5","100","636","636","16"
"42","500","0.05","0","0","0","100","3","0.5","100","826","826","12"
"45","500","0.05","0","0","0","100","3","0.5","100","665","665","17"
"44","500","0.05","0","0","0","100","3","0.5","100","690","690","5"
"38","500","0.05","0","0","0","100","3","0.5","100","929","929","10"
"25","500","0.05","0","0","0","100","3","0.5","100","2444","2444","8"
"52","500","0.05","0","0","0","100","3","0.5","100","635","635","10"
"43","500","0.05","0","0","0","100","3","0.5","100","962","962","14"
"48","500","0.05","0","0","0","100","3","0.5","100","943","943","8"
"35","500","0.05","0","0","0","100","3","0.5","100","1718","1718","4"
"51","500","0.05","0","0","0","100","3","0.5","100","1228","1228","3"
"56","500","0.05","0","0","0","100","3","0.5","100","577","577","22"
"36","500","0.05","0","0","0","100","3","0.5","100","2620","2620","4"
"34","500","0.05","0","0","0","100","3","0.5","100","1409","1409","6"
"49","500","0.05","0","0","0","100","3","0.5","100","1716","1716","6"
"53","500","0.05","0","0","0","100","3","0.5","100","1389","1389","4"
"60","500","0.05","0","0","0","100","3","0.5","100","1200","1200","6"
"39","500","0.05","0","0","0","100","3","0.5","100","2652","2652","9"
"61","500","0.05","0","0","0","100","3","0.5","100","1424","1424","10"
"55","500","0.05","0","0","0","100","3","0.5","100","1389","1389","3"
"63","500","0.05","0","0","0","100","3","0.5","100","991","991","7"
"58","500","0.05","0","0","0","100","3","0.5","100","1399","1399","8"
"46","500","0.05","0","0","0","100","3","0.5","100","2423","2423","5"
"50","500","0.05","0","0","0","100","3","0.5","100","2400","2400","8"
"68","500","0.05","0","0","0","100","3","0.5","100","822","822","25"
"47","500","0.05","0","0","0","100","3","0.5","100","3272","3272","6"
"57","500","0.05","0","0","0","100","3","0.5","100","1747","1747","3"
"62","500","0.05","0","0","0","100","3","0.5","100","2440","2440","8"
"54","500","0.05","0","0","0","100","3","0.5","100","2290","2290","13"
"65","500","0.05","0","0","0","100","3","0.5","100","1961","1961","5"
"66","500","0.05","0","0","0","100","3","0.5","100","1432","1432","13"
"72","500","0.05","0","0","0","100","3","0.5","100","720","720","10"
"70","500","0.05","0","0","0","100","3","0.5","100","1178","1178","8"
"27","500","0.05","0","0","0","100","3","0.5","100","6120","6120","1"
"76","500","0.05","0","0","0","100","3","0.5","100","685","685","16"
"73","500","0.05","0","0","0","100","3","0.5","100","1742","1742","7"
"80","500","0.05","0","0","0","100","3","0.5","100","1066","1066","15"
"77","500","0.05","0","0","0","100","3","0.5","100","1257","1257","16"
"82","500","0.05","0","0","0","100","3","0.5","100","543","543","25"
"78","500","0.05","0","0","0","100","3","0.5","100","1269","1269","7"
"64","500","0.05","0","0","0","100","3","0.5","100","2884","2884","4"
"67","500","0.05","0","0","0","100","3","0.5","100","2413","2413","2"
"59","500","0.05","0","0","0","100","3","0.5","100","3370","3370","3"
"83","500","0.05","0","0","0","100","3","0.5","100","881","881","16"
"86","500","0.05","0","0","0","100","3","0.5","100","1000","1000","25"
"85","500","0.05","0","0","0","100","3","0.5","100","1215","1215","10"
"87","500","0.05","0","0","0","100","3","0.5","100","1205","1205","8"
"88","500","0.05","0","0","0","100","3","0.5","100","650","650","13"
"75","500","0.05","0","0","0","100","3","0.5","100","2132","2132","4"
"74","500","0.05","0","0","0","100","3","0.5","100","2594","2594","8"
"94","500","0.05","0","0","0","100","3","0.5","100","642","642","18"
"79","500","0.05","0","0","0","100","3","0.5","100","2157","2157","1"
"93","500","0.05","0","0","0","100","3","0.5","100","934","934","7"
"100","500","0.05","0","0","0","100","3","0.5","100","654","654","7"
"69","500","0.05","0","0","0","100","3","0.5","100","3006","3006","7"
"91","500","0.05","0","0","0","100","3","0.5","100","1722","1722","4"
"84","500","0.05","0","0","0","100","3","0.5","100","2156","2156","0"
"99","500","0.05","0","0","0","100","3","0.5","100","1076","1076","11"
"92","500","0.05","0","0","0","100","3","0.5","100","1424","1424","7"
"97","500","0.05","0","0","0","100","3","0.5","100","1118","1118","5"
"96","500","0.05","0","0","0","100","3","0.5","100","1529","1529","4"
"71","500","0.05","0","0","0","100","3","0.5","100","4619","4619","2"
"90","500","0.05","0","0","0","100","3","0.5","100","2200","2200","5"
"95","500","0.05","0","0","0","100","3","0.5","100","2372","2372","3"
"98","500","0.05","0","0","0","100","3","0.5","100","2356","2356","4"
"81","500","0.05","0","0","0","100","3","0.5","100","8475","8475","1"
"89","500","0.05","0","0","0","100","3","0.5","100","6532","6532","2"
