"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_100"
"09/23/2025 15:48:43:606 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"6","250","10","0.01","20","1","2","100","3000","1","[15]","[250]"
"8","250","10","0.01","20","1","2","100","3000","1","[105]","[250]"
"1","250","10","0.01","20","1","2","100","3000","6","[15 105 25 35 45 65]","[245 1 1 1 1 1]"
"5","250","10","0.01","20","1","2","100","3000","1","[105]","[250]"
"4","250","10","0.01","20","1","2","100","3000","7","[15 105 25 45 35 55 65]","[1 158 1 1 85 1 3]"
"7","250","10","0.01","20","1","2","100","3000","3","[15 105 25]","[1 248 1]"
"9","250","10","0.01","20","1","2","100","3000","4","[15 105 25 35]","[177 1 71 1]"
"2","250","10","0.01","20","1","2","100","3000","2","[15 105]","[60 190]"
"3","250","10","0.01","20","1","2","100","3000","3","[15 105 25]","[1 248 1]"
"10","250","10","0.01","20","1","2","100","3000","1","[105]","[250]"
"14","250","10","0.01","20","1","2","100","3000","3","[15 105 25]","[180 1 69]"
"12","250","10","0.01","20","1","2","100","3000","4","[15 105 25 35]","[171 77 1 1]"
"13","250","10","0.01","20","1","2","100","3000","4","[15 105 25 35]","[194 54 1 1]"
"17","250","10","0.01","20","1","2","100","3000","1","[15]","[250]"
"11","250","10","0.01","20","1","2","100","3000","3","[15 105 25]","[175 74 1]"
"15","250","10","0.01","20","1","2","100","3000","7","[15 105 25 35 55 65 45]","[219 1 25 1 1 1 2]"
"18","250","10","0.01","20","1","2","100","3000","5","[15 105 25 35 45]","[1 246 1 1 1]"
"16","250","10","0.01","20","1","2","100","3000","3","[15 105 25]","[199 50 1]"
"19","250","10","0.01","20","1","2","100","3000","2","[15 105]","[1 249]"
"20","250","10","0.01","20","1","2","100","3000","1","[105]","[250]"
"21","250","10","0.01","20","1","2","100","3000","7","[15 105 25 35 45 55 65]","[3 190 9 1 42 2 3]"
"22","250","10","0.01","20","1","2","100","3000","6","[15 105 35 45 55 65]","[1 244 2 1 1 1]"
"24","250","10","0.01","20","1","2","100","3000","3","[15 105 45]","[122 127 1]"
"27","250","10","0.01","20","1","2","100","3000","1","[15]","[250]"
"26","250","10","0.01","20","1","2","100","3000","1","[105]","[250]"
"23","250","10","0.01","20","1","2","100","3000","7","[15 105 35 25 55 45 65]","[2 196 1 11 1 38 1]"
"25","250","10","0.01","20","1","2","100","3000","11","[15 25 35 45 55 65 75 85 95 105 115]","[38 163 1 37 1 1 1 5 1 1 1]"
"28","250","10","0.01","20","1","2","100","3000","2","[15 105]","[174 76]"
"29","250","10","0.01","20","1","2","100","3000","2","[15 105]","[6 244]"
"30","250","10","0.01","20","1","2","100","3000","5","[105 25 35 45 55]","[135 112 1 1 1]"
