"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"050-table"
"09/25/2025 02:04:24:446 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"2","250","0.05","0","0","0.5","100","3","0.5","100","535","535","14"
"6","250","0.05","0","0","0.5","100","3","0.5","100","571","571","7"
"8","250","0.05","0","0","0.5","100","3","0.5","100","569","569","11"
"3","250","0.05","0","0","0.5","100","3","0.5","100","625","625","12"
"7","250","0.05","0","0","0.5","100","3","0.5","100","649","649","7"
"9","250","0.05","0","0","0.5","100","3","0.5","100","703","703","3"
"10","250","0.05","0","0","0.5","100","3","0.5","100","819","819","6"
"12","250","0.05","0","0","0.5","100","3","0.5","100","1127","1127","7"
"15","250","0.05","0","0","0.5","100","3","0.5","100","389","389","8"
"17","250","0.05","0","0","0.5","100","3","0.5","100","348","348","17"
"11","250","0.05","0","0","0.5","100","3","0.5","100","1164","1164","1"
"16","250","0.05","0","0","0.5","100","3","0.5","100","395","395","12"
"1","250","0.05","0","0","0.5","100","3","0.5","100","815","815","11"
"18","250","0.05","0","0","0.5","100","3","0.5","100","370","370","16"
"13","250","0.05","0","0","0.5","100","3","0.5","100","672","672","12"
"4","250","0.05","0","0","0.5","100","3","0.5","100","993","993","2"
"5","250","0.05","0","0","0.5","100","3","0.5","100","1140","1140","1"
"24","250","0.05","0","0","0.5","100","3","0.5","100","250","250","29"
"14","250","0.05","0","0","0.5","100","3","0.5","100","915","915","6"
"23","250","0.05","0","0","0.5","100","3","0.5","100","579","579","16"
"19","250","0.05","0","0","0.5","100","3","0.5","100","475","475","22"
"26","250","0.05","0","0","0.5","100","3","0.5","100","623","623","10"
"22","250","0.05","0","0","0.5","100","3","0.5","100","746","746","12"
"28","250","0.05","0","0","0.5","100","3","0.5","100","510","510","9"
"34","250","0.05","0","0","0.5","100","3","0.5","100","231","231","17"
"20","250","0.05","0","0","0.5","100","3","0.5","100","1006","1006","6"
"31","250","0.05","0","0","0.5","100","3","0.5","100","614","614","11"
"27","250","0.05","0","0","0.5","100","3","0.5","100","985","985","10"
"32","250","0.05","0","0","0.5","100","3","0.5","100","554","554","2"
"21","250","0.05","0","0","0.5","100","3","0.5","100","1222","1222","5"
"33","250","0.05","0","0","0.5","100","3","0.5","100","430","430","11"
"40","250","0.05","0","0","0.5","100","3","0.5","100","537","537","10"
"37","250","0.05","0","0","0.5","100","3","0.5","100","614","614","8"
"35","250","0.05","0","0","0.5","100","3","0.5","100","1134","1134","6"
"39","250","0.05","0","0","0.5","100","3","0.5","100","899","899","1"
"30","250","0.05","0","0","0.5","100","3","0.5","100","958","958","2"
"29","250","0.05","0","0","0.5","100","3","0.5","100","1209","1209","6"
"38","250","0.05","0","0","0.5","100","3","0.5","100","821","821","3"
"42","250","0.05","0","0","0.5","100","3","0.5","100","625","625","10"
"25","250","0.05","0","0","0.5","100","3","0.5","100","1548","1548","4"
