"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template (4)"
"09/25/2025 02:10:01:601 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"5","250","0.05","0","0","1","100","3","0.5","100","575","575","25"
"2","250","0.05","0","0","1","100","3","0.5","100","739","739","16"
"11","250","0.05","0","0","1","100","3","0.5","100","725","725","24"
"12","250","0.05","0","0","1","100","3","0.5","100","885","885","34"
"8","250","0.05","0","0","1","100","3","0.5","100","728","728","32"
"3","250","0.05","0","0","1","100","3","0.5","100","894","894","20"
"7","250","0.05","0","0","1","100","3","0.5","100","839","839","9"
"15","250","0.05","0","0","1","100","3","0.5","100","657","657","26"
"9","250","0.05","0","0","1","100","3","0.5","100","1043","1043","14"
"14","250","0.05","0","0","1","100","3","0.5","100","762","762","16"
"4","250","0.05","0","0","1","100","3","0.5","100","1366","1366","11"
"10","250","0.05","0","0","1","100","3","0.5","100","1483","1483","11"
"17","250","0.05","0","0","1","100","3","0.5","100","863","863","19"
"1","250","0.05","0","0","1","100","3","0.5","100","1339","1339","11"
"22","250","0.05","0","0","1","100","3","0.5","100","943","943","17"
"20","250","0.05","0","0","1","100","3","0.5","100","1078","1078","6"
"13","250","0.05","0","0","1","100","3","0.5","100","1546","1546","11"
"16","250","0.05","0","0","1","100","3","0.5","100","1529","1529","6"
"27","250","0.05","0","0","1","100","3","0.5","100","604","604","14"
"6","250","0.05","0","0","1","100","3","0.5","100","3436","3436","1"
"28","250","0.05","0","0","1","100","3","0.5","100","1087","1087","15"
"18","250","0.05","0","0","1","100","3","0.5","100","1573","1573","12"
"30","250","0.05","0","0","1","100","3","0.5","100","606","606","25"
"31","250","0.05","0","0","1","100","3","0.5","100","763","763","23"
"32","250","0.05","0","0","1","100","3","0.5","100","1096","1096","15"
"29","250","0.05","0","0","1","100","3","0.5","100","1330","1330","10"
"21","250","0.05","0","0","1","100","3","0.5","100","2073","2073","3"
"33","250","0.05","0","0","1","100","3","0.5","100","1161","1161","13"
"23","250","0.05","0","0","1","100","3","0.5","100","1986","1986","5"
"36","250","0.05","0","0","1","100","3","0.5","100","1216","1216","5"
"37","250","0.05","0","0","1","100","3","0.5","100","781","781","10"
"40","250","0.05","0","0","1","100","3","0.5","100","769","769","14"
"26","250","0.05","0","0","1","100","3","0.5","100","1457","1457","2"
"41","250","0.05","0","0","1","100","3","0.5","100","476","476","35"
"24","250","0.05","0","0","1","100","3","0.5","100","1808","1808","7"
"34","250","0.05","0","0","1","100","3","0.5","100","1170","1170","27"
"25","250","0.05","0","0","1","100","3","0.5","100","2311","2311","3"
"42","250","0.05","0","0","1","100","3","0.5","100","925","925","10"
"38","250","0.05","0","0","1","100","3","0.5","100","1237","1237","8"
"35","250","0.05","0","0","1","100","3","0.5","100","1975","1975","5"
"44","250","0.05","0","0","1","100","3","0.5","100","983","983","4"
"43","250","0.05","0","0","1","100","3","0.5","100","1118","1118","3"
"39","250","0.05","0","0","1","100","3","0.5","100","1425","1425","11"
"50","250","0.05","0","0","1","100","3","0.5","100","739","739","13"
"49","250","0.05","0","0","1","100","3","0.5","100","721","721","29"
"52","250","0.05","0","0","1","100","3","0.5","100","546","546","21"
"19","250","0.05","0","0","1","100","3","0.5","100","3515","3515","2"
"47","250","0.05","0","0","1","100","3","0.5","100","1086","1086","12"
"46","250","0.05","0","0","1","100","3","0.5","100","1295","1295","7"
"45","250","0.05","0","0","1","100","3","0.5","100","1156","1156","10"
"56","250","0.05","0","0","1","100","3","0.5","100","980","980","7"
"53","250","0.05","0","0","1","100","3","0.5","100","2368","2368","5"
"57","250","0.05","0","0","1","100","3","0.5","100","1091","1091","7"
"61","250","0.05","0","0","1","100","3","0.5","100","847","847","24"
"59","250","0.05","0","0","1","100","3","0.5","100","1126","1126","16"
"63","250","0.05","0","0","1","100","3","0.5","100","1717","1717","7"
"58","250","0.05","0","0","1","100","3","0.5","100","1655","1655","11"
"60","250","0.05","0","0","1","100","3","0.5","100","1262","1262","14"
"67","250","0.05","0","0","1","100","3","0.5","100","900","900","16"
"48","250","0.05","0","0","1","100","3","0.5","100","2805","2805","8"
"51","250","0.05","0","0","1","100","3","0.5","100","2979","2979","8"
"55","250","0.05","0","0","1","100","3","0.5","100","2349","2349","4"
"54","250","0.05","0","0","1","100","3","0.5","100","4442","4442","9"
"68","250","0.05","0","0","1","100","3","0.5","100","1500","1500","5"
"69","250","0.05","0","0","1","100","3","0.5","100","951","951","20"
"62","250","0.05","0","0","1","100","3","0.5","100","1621","1621","6"
"65","250","0.05","0","0","1","100","3","0.5","100","1740","1740","14"
"74","250","0.05","0","0","1","100","3","0.5","100","667","667","18"
"66","250","0.05","0","0","1","100","3","0.5","100","1651","1651","3"
"77","250","0.05","0","0","1","100","3","0.5","100","544","544","25"
"75","250","0.05","0","0","1","100","3","0.5","100","916","916","5"
"73","250","0.05","0","0","1","100","3","0.5","100","895","895","17"
"64","250","0.05","0","0","1","100","3","0.5","100","3036","3036","7"
"76","250","0.05","0","0","1","100","3","0.5","100","1205","1205","19"
"79","250","0.05","0","0","1","100","3","0.5","100","716","716","17"
