"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template"
"09/25/2025 01:25:17:836 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"7","250","0.05","0","0","0","100","3","0.5","100","447","447","11"
"9","250","0.05","0","0","0","100","3","0.5","100","599","599","9"
"5","250","0.05","0","0","0","100","3","0.5","100","468","468","7"
"6","250","0.05","0","0","0","100","3","0.5","100","809","809","4"
"4","250","0.05","0","0","0","100","3","0.5","100","707","707","5"
"13","250","0.05","0","0","0","100","3","0.5","100","612","612","6"
"1","250","0.05","0","0","0","100","3","0.5","100","942","942","5"
"10","250","0.05","0","0","0","100","3","0.5","100","897","897","5"
"3","250","0.05","0","0","0","100","3","0.5","100","1107","1107","2"
"12","250","0.05","0","0","0","100","3","0.5","100","1104","1104","3"
"17","250","0.05","0","0","0","100","3","0.5","100","582","582","7"
"18","250","0.05","0","0","0","100","3","0.5","100","495","495","11"
"11","250","0.05","0","0","0","100","3","0.5","100","1304","1304","4"
"15","250","0.05","0","0","0","100","3","0.5","100","932","932","2"
"20","250","0.05","0","0","0","100","3","0.5","100","581","581","7"
"8","250","0.05","0","0","0","100","3","0.5","100","1696","1696","2"
"14","250","0.05","0","0","0","100","3","0.5","100","1062","1062","2"
"16","250","0.05","0","0","0","100","3","0.5","100","850","850","3"
"22","250","0.05","0","0","0","100","3","0.5","100","490","490","10"
"2","250","0.05","0","0","0","100","3","0.5","100","1523","1523","8"
"19","250","0.05","0","0","0","100","3","0.5","100","715","715","9"
"25","250","0.05","0","0","0","100","3","0.5","100","384","384","9"
"31","250","0.05","0","0","0","100","3","0.5","100","354","354","11"
"21","250","0.05","0","0","0","100","3","0.5","100","874","874","5"
"29","250","0.05","0","0","0","100","3","0.5","100","474","474","9"
"23","250","0.05","0","0","0","100","3","0.5","100","806","806","3"
"24","250","0.05","0","0","0","100","3","0.5","100","602","602","7"
"30","250","0.05","0","0","0","100","3","0.5","100","652","652","2"
"32","250","0.05","0","0","0","100","3","0.5","100","542","542","10"
"26","250","0.05","0","0","0","100","3","0.5","100","692","692","8"
"37","250","0.05","0","0","0","100","3","0.5","100","333","333","14"
"40","250","0.05","0","0","0","100","3","0.5","100","296","296","14"
"33","250","0.05","0","0","0","100","3","0.5","100","624","624","10"
"38","250","0.05","0","0","0","100","3","0.5","100","610","610","7"
"35","250","0.05","0","0","0","100","3","0.5","100","732","732","4"
"28","250","0.05","0","0","0","100","3","0.5","100","1261","1261","3"
"36","250","0.05","0","0","0","100","3","0.5","100","589","589","5"
"45","250","0.05","0","0","0","100","3","0.5","100","326","326","6"
"34","250","0.05","0","0","0","100","3","0.5","100","1054","1054","2"
"44","250","0.05","0","0","0","100","3","0.5","100","520","520","7"
"42","250","0.05","0","0","0","100","3","0.5","100","782","782","15"
"27","250","0.05","0","0","0","100","3","0.5","100","1831","1831","2"
"41","250","0.05","0","0","0","100","3","0.5","100","964","964","12"
"48","250","0.05","0","0","0","100","3","0.5","100","569","569","1"
"43","250","0.05","0","0","0","100","3","0.5","100","991","991","3"
"47","250","0.05","0","0","0","100","3","0.5","100","779","779","4"
"56","250","0.05","0","0","0","100","3","0.5","100","344","344","15"
"57","250","0.05","0","0","0","100","3","0.5","100","252","252","15"
"51","250","0.05","0","0","0","100","3","0.5","100","853","853","4"
"46","250","0.05","0","0","0","100","3","0.5","100","1383","1383","1"
"53","250","0.05","0","0","0","100","3","0.5","100","756","756","1"
"59","250","0.05","0","0","0","100","3","0.5","100","472","472","11"
"52","250","0.05","0","0","0","100","3","0.5","100","1102","1102","2"
"54","250","0.05","0","0","0","100","3","0.5","100","707","707","9"
"55","250","0.05","0","0","0","100","3","0.5","100","820","820","10"
"58","250","0.05","0","0","0","100","3","0.5","100","655","655","8"
"63","250","0.05","0","0","0","100","3","0.5","100","242","242","14"
"49","250","0.05","0","0","0","100","3","0.5","100","1479","1479","1"
"65","250","0.05","0","0","0","100","3","0.5","100","572","572","8"
"61","250","0.05","0","0","0","100","3","0.5","100","822","822","6"
"62","250","0.05","0","0","0","100","3","0.5","100","825","825","5"
"60","250","0.05","0","0","0","100","3","0.5","100","1412","1412","7"
"64","250","0.05","0","0","0","100","3","0.5","100","1061","1061","4"
"71","250","0.05","0","0","0","100","3","0.5","100","388","388","9"
"50","250","0.05","0","0","0","100","3","0.5","100","1763","1763","3"
"75","250","0.05","0","0","0","100","3","0.5","100","309","309","17"
"73","250","0.05","0","0","0","100","3","0.5","100","421","421","13"
"66","250","0.05","0","0","0","100","3","0.5","100","893","893","5"
"70","250","0.05","0","0","0","100","3","0.5","100","661","661","12"
"72","250","0.05","0","0","0","100","3","0.5","100","643","643","4"
"76","250","0.05","0","0","0","100","3","0.5","100","476","476","8"
"39","250","0.05","0","0","0","100","3","0.5","100","2847","2847","1"
"74","250","0.05","0","0","0","100","3","0.5","100","609","609","8"
