"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment050"
"09/25/2025 01:28:21:308 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","count turtles"
"1","250","0","20","20","0.5","80","3","0.5","80","0","250"
"1","250","0","20","20","0.5","80","3","0.5","80","1","250"
"1","250","0","20","20","0.5","80","3","0.5","80","2","250"
"1","250","0","20","20","0.5","80","3","0.5","80","3","250"
"1","250","0","20","20","0.5","80","3","0.5","80","4","250"
"1","250","0","20","20","0.5","80","3","0.5","80","5","250"
"1","250","0","20","20","0.5","80","3","0.5","80","6","250"
"1","250","0","20","20","0.5","80","3","0.5","80","7","250"
"1","250","0","20","20","0.5","80","3","0.5","80","8","250"
"1","250","0","20","20","0.5","80","3","0.5","80","9","250"
"1","250","0","20","20","0.5","80","3","0.5","80","10","250"
"1","250","0","20","20","0.5","80","3","0.5","80","11","250"
"1","250","0","20","20","0.5","80","3","0.5","80","12","250"
"1","250","0","20","20","0.5","80","3","0.5","80","13","250"
"1","250","0","20","20","0.5","80","3","0.5","80","14","250"
"1","250","0","20","20","0.5","80","3","0.5","80","15","250"
"1","250","0","20","20","0.5","80","3","0.5","80","16","250"
"1","250","0","20","20","0.5","80","3","0.5","80","17","250"
"1","250","0","20","20","0.5","80","3","0.5","80","18","250"
"1","250","0","20","20","0.5","80","3","0.5","80","19","250"
"1","250","0","20","20","0.5","80","3","0.5","80","20","250"
"1","250","0","20","20","0.5","80","3","0.5","80","21","250"
"1","250","0","20","20","0.5","80","3","0.5","80","22","250"
"1","250","0","20","20","0.5","80","3","0.5","80","23","250"
"1","250","0","20","20","0.5","80","3","0.5","80","24","250"
"1","250","0","20","20","0.5","80","3","0.5","80","25","250"
"1","250","0","20","20","0.5","80","3","0.5","80","26","250"
"1","250","0","20","20","0.5","80","3","0.5","80","27","250"
"1","250","0","20","20","0.5","80","3","0.5","80","28","250"
"1","250","0","20","20","0.5","80","3","0.5","80","29","250"
"1","250","0","20","20","0.5","80","3","0.5","80","30","250"
"1","250","0","20","20","0.5","80","3","0.5","80","31","250"
"1","250","0","20","20","0.5","80","3","0.5","80","32","250"
"1","250","0","20","20","0.5","80","3","0.5","80","33","250"
"1","250","0","20","20","0.5","80","3","0.5","80","34","250"
"1","250","0","20","20","0.5","80","3","0.5","80","35","250"
"1","250","0","20","20","0.5","80","3","0.5","80","36","250"
"1","250","0","20","20","0.5","80","3","0.5","80","37","250"
"1","250","0","20","20","0.5","80","3","0.5","80","38","250"
"1","250","0","20","20","0.5","80","3","0.5","80","39","250"
"1","250","0","20","20","0.5","80","3","0.5","80","40","250"
"1","250","0","20","20","0.5","80","3","0.5","80","41","250"
"1","250","0","20","20","0.5","80","3","0.5","80","42","250"
"1","250","0","20","20","0.5","80","3","0.5","80","43","250"
"1","250","0","20","20","0.5","80","3","0.5","80","44","250"
"1","250","0","20","20","0.5","80","3","0.5","80","45","250"
"1","250","0","20","20","0.5","80","3","0.5","80","46","250"
"1","250","0","20","20","0.5","80","3","0.5","80","47","250"
"1","250","0","20","20","0.5","80","3","0.5","80","48","250"
"1","250","0","20","20","0.5","80","3","0.5","80","49","250"
"1","250","0","20","20","0.5","80","3","0.5","80","50","250"
"1","250","0","20","20","0.5","80","3","0.5","80","51","250"
"1","250","0","20","20","0.5","80","3","0.5","80","52","250"
"1","250","0","20","20","0.5","80","3","0.5","80","53","250"
"1","250","0","20","20","0.5","80","3","0.5","80","54","250"
"1","250","0","20","20","0.5","80","3","0.5","80","55","250"
"1","250","0","20","20","0.5","80","3","0.5","80","56","250"
"1","250","0","20","20","0.5","80","3","0.5","80","57","250"
"1","250","0","20","20","0.5","80","3","0.5","80","58","250"
"1","250","0","20","20","0.5","80","3","0.5","80","59","250"
"1","250","0","20","20","0.5","80","3","0.5","80","60","250"
"1","250","0","20","20","0.5","80","3","0.5","80","61","250"
"1","250","0","20","20","0.5","80","3","0.5","80","62","250"
"1","250","0","20","20","0.5","80","3","0.5","80","63","250"
"1","250","0","20","20","0.5","80","3","0.5","80","64","250"
"1","250","0","20","20","0.5","80","3","0.5","80","65","250"
"1","250","0","20","20","0.5","80","3","0.5","80","66","250"
"1","250","0","20","20","0.5","80","3","0.5","80","67","250"
"1","250","0","20","20","0.5","80","3","0.5","80","68","250"
"1","250","0","20","20","0.5","80","3","0.5","80","69","250"
"1","250","0","20","20","0.5","80","3","0.5","80","70","250"
"1","250","0","20","20","0.5","80","3","0.5","80","71","250"
"1","250","0","20","20","0.5","80","3","0.5","80","72","250"
"1","250","0","20","20","0.5","80","3","0.5","80","73","250"
"1","250","0","20","20","0.5","80","3","0.5","80","74","250"
"1","250","0","20","20","0.5","80","3","0.5","80","75","250"
"1","250","0","20","20","0.5","80","3","0.5","80","76","250"
"1","250","0","20","20","0.5","80","3","0.5","80","77","250"
"1","250","0","20","20","0.5","80","3","0.5","80","78","250"
"1","250","0","20","20","0.5","80","3","0.5","80","79","250"
"1","250","0","20","20","0.5","80","3","0.5","80","80","250"
"1","250","0","20","20","0.5","80","3","0.5","80","81","250"
"1","250","0","20","20","0.5","80","3","0.5","80","82","250"
"1","250","0","20","20","0.5","80","3","0.5","80","83","250"
"1","250","0","20","20","0.5","80","3","0.5","80","84","250"
"1","250","0","20","20","0.5","80","3","0.5","80","85","250"
"1","250","0","20","20","0.5","80","3","0.5","80","86","250"
"1","250","0","20","20","0.5","80","3","0.5","80","87","250"
"1","250","0","20","20","0.5","80","3","0.5","80","88","250"
"1","250","0","20","20","0.5","80","3","0.5","80","89","250"
"1","250","0","20","20","0.5","80","3","0.5","80","90","250"
"1","250","0","20","20","0.5","80","3","0.5","80","91","250"
"1","250","0","20","20","0.5","80","3","0.5","80","92","250"
"1","250","0","20","20","0.5","80","3","0.5","80","93","250"
"1","250","0","20","20","0.5","80","3","0.5","80","94","250"
"1","250","0","20","20","0.5","80","3","0.5","80","95","250"
"1","250","0","20","20","0.5","80","3","0.5","80","96","250"
"1","250","0","20","20","0.5","80","3","0.5","80","97","250"
"1","250","0","20","20","0.5","80","3","0.5","80","98","250"
"1","250","0","20","20","0.5","80","3","0.5","80","99","250"
"1","250","0","20","20","0.5","80","3","0.5","80","100","250"
"1","250","0","20","20","0.5","80","3","0.5","80","101","250"
"1","250","0","20","20","0.5","80","3","0.5","80","102","250"
"1","250","0","20","20","0.5","80","3","0.5","80","103","250"
